full genome	NC_004718.3	1	29751	MN908947.3	1	29903
mRNA1	NC_004718.3	1	21485	MN908947.3	1	21555
mRNA2	NC_004718.3	21492	29751	MN908947.3	21563	29903
mRNA3	NC_004718.3	25268	29751	MN908947.3	25393	29903
mRNA4	NC_004718.3	26117	29751	MN908947.3	26245	29903
mRNA5	NC_004718.3	26398	29751	MN908947.3	26523	29903
mRNA6	NC_004718.3	26913	29751	MN908947.3	27202	29903
mRNA7	NC_004718.3	27273	29751	MN908947.3	27394	29903
mRNA8	NC_004718.3	27779	29751	MN908947.3	27894	29903
mRNA9	NC_004718.3	28120	29751	MN908947.3	28274	29903
full minus strand	NC_004718.3	-29751	-1	MN908947.3	-29903	-1
minus mRNA2	NC_004718.3	-29751	-21492	MN908947.3	-29903	-21563
minus mRNA3	NC_004718.3	-29751	-25268	MN908947.3	-29903	-25393
minus mRNA4	NC_004718.3	-29751	-26117	MN908947.3	-29903	-26245
minus mRNA5	NC_004718.3	-29751	-26398	MN908947.3	-29903	-26523
minus mRNA6	NC_004718.3	-29751	-26913	MN908947.3	-29903	-27202
minus mRNA7	NC_004718.3	-29751	-27273	MN908947.3	-29903	-27394
minus mRNA8	NC_004718.3	-29751	-27779	MN908947.3	-29903	-27894
minus mRNA9	NC_004718.3	-29751	-28120	MN908947.3	-29903	-28274
pp1a	P0C6U8			P0DTC1		
pp1a-nsp1	P0C6U8	1	180	P0DTC1	1	180
pp1a-nsp2	P0C6U8	181	818	P0DTC1	181	818
pp1a-nsp3	P0C6U8	819	2740	P0DTC1	819	2763
pp1a-nsp4	P0C6U8	2741	3240	P0DTC1	2764	3263
pp1a-nsp5	P0C6U8	3241	3546	P0DTC1	3264	3569
pp1a-nsp6	P0C6U8	3547	3836	P0DTC1	3570	3859
pp1a-nsp7	P0C6U8	3837	3919	P0DTC1	3860	3942
pp1a-nsp8	P0C6U8	3920	4117	P0DTC1	3943	4140
pp1a-nsp9	P0C6U8	4118	4230	P0DTC1	4141	4253
pp1a-nsp10	P0C6U8	4231	4369	P0DTC1	4254	4392
pp1a-nsp11	P0C6U8	4370	4382	P0DTC1	4393	4405
pp1a-nsp3-4	P0C6U8	819	3240	P0DTC1	819	3263
pp1a-nsp6-11	P0C6U8	3547	4382	P0DTC1	3570	4382
rep	P0C6X7			P0DTD1		
pp1ab-nsp1	P0C6X7	1	180	P0DTD1	1	180
pp1ab-nsp2	P0C6X7	181	818	P0DTD1	181	818
pp1ab-nsp3	P0C6X7	819	2740	P0DTD1	819	2763
pp1ab-nsp4	P0C6X7	2741	3240	P0DTD1	2764	3263
pp1ab-nsp5	P0C6X7	3241	3546	P0DTD1	3264	3569
pp1ab-nsp6	P0C6X7	3547	3836	P0DTD1	3570	3859
pp1ab-nsp7	P0C6X7	3837	3919	P0DTD1	3860	3942
pp1ab-nsp8	P0C6X7	3920	4117	P0DTD1	3943	4140
pp1ab-nsp9	P0C6X7	4118	4230	P0DTD1	4141	4253
pp1ab-nsp10	P0C6X7	4231	4369	P0DTD1	4254	4392
pp1ab-nsp12	P0C6X7	4370	5301	P0DTD1	4393	5324
pp1ab-nsp13	P0C6X7	5302	5902	P0DTD1	5325	5925
pp1ab-nsp14	P0C6X7	5903	6429	P0DTD1	5926	6452
pp1ab-nsp15	P0C6X7	6430	6775	P0DTD1	6453	6798
pp1ab-nsp15	P0C6X7	6776	7073	P0DTD1	6799	7096
S	P59594			P0DTC2		
3a	P59632			P0DTC3		
M	P59596			P0DTC5		
E	P59637			P0DTC4		
6	P59634			P0DTC6		
7a	P59635			P0DTC7		
7b	Q7TFA1			P0DTD8		
8a	Q7TFA0			P0DTC8		
N	P59595			P0DTC9		
9b	P59636			P0DTD2		
