full genome	M84727.1	1	10723	MH158237.1	1	10807
C	P29990	1	100	A0A192GPS0	1	104
prM	P29990	115	280	A0A192GPS0	123	290
E	P29990	281	775	A0A192GPS0	291	794
NS1	P29990	776	1127	A0A192GPS0	795	1146
NS2A	P29990	1128	1345	A0A192GPS0	1147	1372
NS2B	P29990	1346	1475	A0A192GPS0	1373	1502
NS3	P29990	1476	2093	A0A192GPS0	1503	2119
NS4A	P29990	2094	2220	A0A192GPS0	2120	2246
Peptide 2k	P29990	2221	2243	A0A192GPS0	2247	2269
NS4B	P29990	2244	2491	A0A192GPS0	2270	2520
NS5	P29990	2492	3391	A0A192GPS0	2521	3423
Polyprotein	P29990	1	-1	A0A192GPS0	1	-1
prepro-C	P29990	1	114	A0A192GPS0	1	122
C-prM-E-NS12A	P29990	1	1345	A0A192GPS0	1	1372
Fragment	P29990	101	114	A0A192GPS0	105	122
pr	P29990	115	205	A0A192GPS0	123	215
prM-E-NS12A	P29990	115	1345	A0A192GPS0	123	1372
M	P29990	206	280	A0A192GPS0	216	290
NS12A	P29990	776	1345	A0A192GPS0	795	1372
NS345	P29990	1476	3391	A0A192GPS0	1503	3423
NS4AB	P29990	2094	2491	A0A192GPS0	2120	2520
prepro-NS4B	P29990	2221	2491	A0A192GPS0	2247	2520
